country_iso3,table_name,record_id,record_name,field_name,claim_summary,source_url,source_authority,source_section_or_page,direct_support,scope_match,current_as_of_2026_06_22,action_taken,notes
IND,curriculum_courses,dfcd5f89-d9d9-4181-a056-452497f393a3,Social Science,course_name_english,Course Name English: Social Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,dfcd5f89-d9d9-4181-a056-452497f393a3,Social Science,grade_level,Grade level: 9,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0e8da93a-d245-482d-9746-de31f8708233,Social Science,course_name_local,Course Name Local: Social Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0e8da93a-d245-482d-9746-de31f8708233,Social Science,course_name_english,Course Name English: Social Science,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0e8da93a-d245-482d-9746-de31f8708233,Social Science,grade_level,Grade level: 10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Social Science under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0226e928-6abd-40e8-b270-e447c06700ec,Hindi,course_name_local,Course Name Local: Hindi,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Hindi under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0226e928-6abd-40e8-b270-e447c06700ec,Hindi,course_name_english,Course Name English: Hindi,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Hindi under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,0226e928-6abd-40e8-b270-e447c06700ec,Hindi,grade_level,Grade level: 9,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class IX): Hindi under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,202ee173-bd23-4ac8-ac9f-229ad1be93a9,Hindi Course-A,course_name_local,Course Name Local: Hindi Course-A,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Hindi Course-A under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,202ee173-bd23-4ac8-ac9f-229ad1be93a9,Hindi Course-A,course_name_english,Course Name English: Hindi Course-A,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Hindi Course-A under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,202ee173-bd23-4ac8-ac9f-229ad1be93a9,Hindi Course-A,grade_level,Grade level: 10,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 1 (Class X): Hindi Course-A under Languages or Main Subjects,yes,yes,yes,corrected,
IND,curriculum_courses,a767153b-0d69-4516-8da6-dff7ec86a047,English Core,course_name_local,Course Name Local: English Core,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,a767153b-0d69-4516-8da6-dff7ec86a047,English Core,course_name_english,Course Name English: English Core,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,a767153b-0d69-4516-8da6-dff7ec86a047,English Core,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,44f31634-79ab-4c8f-937b-c1e25fdc7bef,English Core,course_name_local,Course Name Local: English Core,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,44f31634-79ab-4c8f-937b-c1e25fdc7bef,English Core,course_name_english,Course Name English: English Core,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,44f31634-79ab-4c8f-937b-c1e25fdc7bef,English Core,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): English Core under Languages,yes,yes,yes,corrected,
IND,curriculum_courses,e492a149-48f9-420c-a596-b3d81a03e6a5,Mathematics,course_name_local,Course Name Local: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e492a149-48f9-420c-a596-b3d81a03e6a5,Mathematics,course_name_english,Course Name English: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e492a149-48f9-420c-a596-b3d81a03e6a5,Mathematics,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,3c11db72-d3e0-44ce-a5ca-cdeb9ca43966,Mathematics,course_name_local,Course Name Local: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,3c11db72-d3e0-44ce-a5ca-cdeb9ca43966,Mathematics,course_name_english,Course Name English: Mathematics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,3c11db72-d3e0-44ce-a5ca-cdeb9ca43966,Mathematics,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Mathematics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,f27f56eb-fd3b-46fe-809b-403683c8cc69,Physics,course_name_local,Course Name Local: Physics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,f27f56eb-fd3b-46fe-809b-403683c8cc69,Physics,course_name_english,Course Name English: Physics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,f27f56eb-fd3b-46fe-809b-403683c8cc69,Physics,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,b1b23d73-4a65-41cf-839e-6d3cbede1120,Physics,course_name_local,Course Name Local: Physics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,b1b23d73-4a65-41cf-839e-6d3cbede1120,Physics,course_name_english,Course Name English: Physics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,b1b23d73-4a65-41cf-839e-6d3cbede1120,Physics,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Physics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c8eb2ad6-f3db-47f4-a6a1-765dc9d4a13d,Chemistry,course_name_local,Course Name Local: Chemistry,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c8eb2ad6-f3db-47f4-a6a1-765dc9d4a13d,Chemistry,course_name_english,Course Name English: Chemistry,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c8eb2ad6-f3db-47f4-a6a1-765dc9d4a13d,Chemistry,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9511ba52-de3a-4629-b40a-44681e6ac702,Chemistry,course_name_local,Course Name Local: Chemistry,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9511ba52-de3a-4629-b40a-44681e6ac702,Chemistry,course_name_english,Course Name English: Chemistry,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9511ba52-de3a-4629-b40a-44681e6ac702,Chemistry,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Chemistry under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,82d4331c-b582-45ee-85b6-c2b7cdca5363,Biology,course_name_local,Course Name Local: Biology,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,82d4331c-b582-45ee-85b6-c2b7cdca5363,Biology,course_name_english,Course Name English: Biology,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,82d4331c-b582-45ee-85b6-c2b7cdca5363,Biology,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,a9aa2a33-c214-41a6-9cf3-28e0e2e85ea3,Biology,course_name_local,Course Name Local: Biology,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,a9aa2a33-c214-41a6-9cf3-28e0e2e85ea3,Biology,course_name_english,Course Name English: Biology,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,a9aa2a33-c214-41a6-9cf3-28e0e2e85ea3,Biology,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Biology under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e465dafb-8270-47ec-8757-5d186050f544,Business Studies,course_name_local,Course Name Local: Business Studies,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e465dafb-8270-47ec-8757-5d186050f544,Business Studies,course_name_english,Course Name English: Business Studies,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e465dafb-8270-47ec-8757-5d186050f544,Business Studies,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c5d48190-a095-4b03-96a0-73fa9f2be7e8,Business Studies,course_name_local,Course Name Local: Business Studies,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c5d48190-a095-4b03-96a0-73fa9f2be7e8,Business Studies,course_name_english,Course Name English: Business Studies,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c5d48190-a095-4b03-96a0-73fa9f2be7e8,Business Studies,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Business Studies under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,39d19e9e-c35e-4714-bba6-6466e3312a61,Accountancy,course_name_local,Course Name Local: Accountancy,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,39d19e9e-c35e-4714-bba6-6466e3312a61,Accountancy,course_name_english,Course Name English: Accountancy,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,39d19e9e-c35e-4714-bba6-6466e3312a61,Accountancy,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c9741bb1-3f65-45a5-abe0-9dd4fde08001,Accountancy,course_name_local,Course Name Local: Accountancy,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c9741bb1-3f65-45a5-abe0-9dd4fde08001,Accountancy,course_name_english,Course Name English: Accountancy,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,c9741bb1-3f65-45a5-abe0-9dd4fde08001,Accountancy,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Accountancy under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e3a0e94e-9bf7-46ea-a4fb-4f9e1e21ccde,Economics,course_name_local,Course Name Local: Economics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e3a0e94e-9bf7-46ea-a4fb-4f9e1e21ccde,Economics,course_name_english,Course Name English: Economics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,e3a0e94e-9bf7-46ea-a4fb-4f9e1e21ccde,Economics,grade_level,Grade level: 11,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9701cfe5-4bfb-4172-a972-c023ded152f4,Economics,course_name_local,Course Name Local: Economics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9701cfe5-4bfb-4172-a972-c023ded152f4,Economics,course_name_english,Course Name English: Economics,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
IND,curriculum_courses,9701cfe5-4bfb-4172-a972-c023ded152f4,Economics,grade_level,Grade level: 12,https://cbseacademic.nic.in/curriculum_2027.html,CBSE Academic Unit,Secondary Curriculum Part - 2 (XI-XII): Economics under Academic Electives,yes,yes,yes,corrected,
CAN,countries,0d0e8809-7a02-4107-b32b-197efdb0ae8a,Canada,education_system_summary,Education is a provincial and territorial responsibility under the Constitution; no national curriculum or graduation framework; CMEC coordinates pan-Canadian initiatives,https://www.cmec.ca/470/Overview_of_the_Canadian_Education_System.html,CMEC,Overview of the Canadian Education System page: Education in Canada directory confirms provincial/territorial responsibility,yes,yes,yes,corrected,Cleared primary_languages and grade_structure due to lack of direct national source
CAN,curricula,b4fde4e9-caa4-4a6a-97cd-e584ae58c720,Ontario Secondary School Curriculum,name,Name: Ontario Secondary School Curriculum,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy and Program Requirements, Section 7: Secondary school courses and related procedures",yes,yes,yes,kept,
CAN,curricula,b4fde4e9-caa4-4a6a-97cd-e584ae58c720,Ontario Secondary School Curriculum,grade_range,Grade range: 9-12,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 7.2: Grades 9 and 10 courses / Grades 11 and 12 courses",yes,yes,yes,kept,
CAN,curricula,b4fde4e9-caa4-4a6a-97cd-e584ae58c720,Ontario Secondary School Curriculum,authority,Authority: Ontario Ministry of Education,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,Ontario Schools K-12 Policy document header: Government of Ontario / Ontario Ministry of Education,yes,yes,yes,kept,
CAN,curricula,b4fde4e9-caa4-4a6a-97cd-e584ae58c720,Ontario Secondary School Curriculum,description,"Ontario secondary school curriculum for grades 9-12 organized by discipline with de-streamed, academic, applied, and open course types",http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 7.2.1 and 7.2.3: course types and destination-related courses",yes,yes,yes,corrected,"Removed OSSD credit totals, community involvement, literacy, and online learning requirements from curriculum description"
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),framework_name,Framework name: Ontario Secondary School Diploma (OSSD),http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6.1 title: Ontario Secondary School Diploma",yes,yes,yes,kept,
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),credential_awarded,Credential awarded: Ontario Secondary School Diploma,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6.1: To earn an Ontario Secondary School Diploma (OSSD)",yes,yes,yes,kept,
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),grade_range,Grade range: 9-12,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6 applies to secondary school (grades 9-12)",yes,yes,yes,kept,
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),total_credits_required,Total credits required: 30,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6.1: minimum of 30 credits",yes,yes,yes,kept,
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),credit_unit_name,Credit unit: credit,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6.1 and throughout: credits",yes,yes,yes,kept,
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),has_state_or_national_exams,Has provincial literacy assessment: true (OSSLT/OSSLC/adjudication),http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Section 6.1.3: Secondary school literacy graduation requirement",yes,yes,yes,corrected,"Interpreted as provincial literacy assessment requirement, not a general state exam system"
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),exam_notes,"Provincial literacy requirement via OSSLT (usual), OSSLC, or adjudication; 40 hours community involvement; 2 online learning credits with opt-out; cohort credit composition varies",http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools K-12 Policy, Sections 6.1.3, 6.1.6, 6.1.7",yes,yes,yes,corrected,Separated non-credit requirements and included cohort distinctions and alternatives
CAN,countries,0d0e8809-7a02-4107-b32b-197efdb0ae8a,Canada,primary_languages,No federally mandated primary languages for education; language policy is determined provincially/territorially,https://www.cmec.ca/470/Overview_of_the_Canadian_Education_System.html,CMEC,Overview of the Canadian Education System page: provincial/territorial directory confirms no national language mandate,yes,yes,yes,corrected,Cleared to empty array because no national source enumerates primary languages for all jurisdictions
CAN,countries,0d0e8809-7a02-4107-b32b-197efdb0ae8a,Canada,grade_structure,No single national grade structure; education is provincial/territorial and each jurisdiction sets its own grade organization,https://www.cmec.ca/470/Overview_of_the_Canadian_Education_System.html,CMEC,Overview of the Canadian Education System page: provincial/territorial directory confirms no national grade structure,yes,yes,yes,corrected,Cleared to empty object because no national source defines a uniform grade structure across all provinces and territories
AUS,curricula,69dfde97-d4ad-4ade-aa46-ac769caf4bbd,NSW Higher School Certificate (HSC),name,Name: NSW Higher School Certificate (HSC),https://educationstandards.nsw.edu.au/,NSW Education Standards Authority,NESA curriculum page: NSW Stage 6 / HSC curriculum,yes,yes,yes,kept,
AUS,curricula,69dfde97-d4ad-4ade-aa46-ac769caf4bbd,NSW Higher School Certificate (HSC),grade_range,Grade range: 11-12,https://educationstandards.nsw.edu.au/,NSW Education Standards Authority,"NESA curriculum page: Stage 4 (Year 7-8), Stage 5 (Year 9-10), Stage 6 (Year 11-12)",yes,yes,yes,kept,
AUS,curricula,69dfde97-d4ad-4ade-aa46-ac769caf4bbd,NSW Higher School Certificate (HSC),authority,Authority: NSW Education Standards Authority (NESA),https://educationstandards.nsw.edu.au/,NSW Education Standards Authority,NESA page header: NESA provides the curriculum for Kindergarten to Year 12,yes,yes,yes,kept,
AUS,curricula,69dfde97-d4ad-4ade-aa46-ac769caf4bbd,NSW Higher School Certificate (HSC),description,NSW Stage 6 curriculum includes Board Developed Courses and Board Endorsed Courses with NESA syllabuses,https://educationstandards.nsw.edu.au/,NSW Education Standards Authority,NESA curriculum page: Types of courses section - Board Developed Courses and Board Endorsed Courses,yes,yes,yes,corrected,Removed ATAR claims and 2-unit generalization; added accurate course type description
AUS,curricula,1109c79b-84c5-4807-b97b-e2bc613c1d0b,Victorian Certificate of Education (VCE),name,Name: Victorian Certificate of Education (VCE),https://vcaa.vic.edu.au/administration/vce-administrative-handbook/vce,Victorian Curriculum and Assessment Authority,VCAA VCE Administrative Handbook: VCE programs section,yes,yes,yes,kept,
AUS,curricula,1109c79b-84c5-4807-b97b-e2bc613c1d0b,Victorian Certificate of Education (VCE),grade_range,Grade range: 11-12,https://vcaa.vic.edu.au/administration/vce-administrative-handbook/vce,Victorian Curriculum and Assessment Authority,VCAA VCE Administrative Handbook: The VCE is normally completed over 2 years,yes,yes,yes,kept,
AUS,curricula,1109c79b-84c5-4807-b97b-e2bc613c1d0b,Victorian Certificate of Education (VCE),authority,Authority: Victorian Curriculum and Assessment Authority (VCAA),https://vcaa.vic.edu.au/administration/vce-administrative-handbook/vce,Victorian Curriculum and Assessment Authority,VCAA VCE Administrative Handbook header and document source,yes,yes,yes,kept,
AUS,curricula,1109c79b-84c5-4807-b97b-e2bc613c1d0b,Victorian Certificate of Education (VCE),description,"VCE includes standard studies with school-based and external assessments, and VCE VM with school-based assessments; units are completed over Years 11-12",https://vcaa.vic.edu.au/administration/vce-administrative-handbook/vce,Victorian Curriculum and Assessment Authority,"VCAA VCE Administrative Handbook: VCE programs, VCE studies, VCE VM studies, Units 1-4",yes,yes,yes,corrected,Removed ATAR claims and universal examination implication; added accurate VCE/VM distinction
AUS,destination_graduation_frameworks,16f879dc-2289-47fd-a18e-266241850f41,NSW Higher School Certificate (HSC),framework_name,Framework name: NSW Higher School Certificate (HSC),https://www.nsw.gov.au/education-and-training/nesa/hsc,NSW Government / NESA,NSW Government HSC page title: About the HSC,yes,yes,yes,kept,
AUS,destination_graduation_frameworks,16f879dc-2289-47fd-a18e-266241850f41,NSW Higher School Certificate (HSC),credential_awarded,Credential awarded: Higher School Certificate,https://www.nsw.gov.au/education-and-training/nesa/hsc,NSW Government / NESA,NSW Government HSC page: The HSC is the highest level of attainment that school students can achieve in NSW,yes,yes,yes,kept,
AUS,destination_graduation_frameworks,16f879dc-2289-47fd-a18e-266241850f41,NSW Higher School Certificate (HSC),grade_range,Grade range: 11-12,https://www.nsw.gov.au/education-and-training/nesa/hsc,NSW Government / NESA,NSW Government HSC page: Years 11 and 12 students in NSW work towards receiving the HSC,yes,yes,yes,kept,
AUS,destination_graduation_frameworks,16f879dc-2289-47fd-a18e-266241850f41,NSW Higher School Certificate (HSC),has_state_or_national_exams,Has external examinations: true (NESA HSC examinations for Board Developed Courses),https://www.nsw.gov.au/education-and-training/nesa/hsc,NSW Government / NESA,NSW Government HSC page and NESA ACE rules: HSC examinations are external and supervised by NESA; students must sit for and make a serious attempt,yes,yes,yes,corrected,"Interpreted as NESA external HSC examinations for Board Developed Courses, not a generic state exam system"
AUS,destination_graduation_frameworks,16f879dc-2289-47fd-a18e-266241850f41,NSW Higher School Certificate (HSC),exam_notes,External HSC exams for Board Developed Courses; HSC Minimum Standard literacy/numeracy tests; school-based assessments contribute; 12 Preliminary units + 10 HSC units including English; ATAR is separate via UAC,https://www.nsw.gov.au/education-and-training/nesa/hsc,NSW Government / NESA,"NSW Government HSC page and NESA ACE rules: exam resources, minimum standard, pattern requirements",yes,yes,yes,corrected,"Removed ATAR-as-graduation-requirement implication; separated external exams, minimum standard, and ATAR scope"
